Type,Date,Candle_Percent,MACD_Percent,Asset_Tag
CBullDivg_Hidden,1994-03-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1994-03-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1994-03-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1994-10-05 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1994-10-06 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1994-12-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1994-12-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1995-08-24 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1995-08-24 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1995-08-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1995-10-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1995-10-27 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1996-06-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1996-06-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1997-03-17 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1997-03-24 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1997-04-14 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1997-04-14 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1997-08-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1997-08-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1998-01-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1998-01-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1998-05-18 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1998-06-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1998-06-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1998-06-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1998-06-04 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1998-06-16 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1998-06-16 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1998-08-17 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1998-08-21 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1998-09-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1998-09-01 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1998-10-08 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1998-10-08 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1999-03-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1999-03-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1999-05-18 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1999-06-02 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1999-08-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1999-09-02 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1999-09-02 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1999-09-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,1999-09-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,1999-10-18 00:00:00+00:00,0.4,3.25,sp500_stooq
