date,open,high,low,close,volume,price_change,gain,loss,avg_gain,avg_loss,RS,RSI,EMA_12,EMA_20,EMA_26,EMA_50,EMA_100,EMA_200,macd,signal,macd_histogram,LM_High_window_1_CS,LM_High_window_2_CS,Level_1_High_window_1_CS,LM_Low_window_1_CS,LM_Low_window_2_CS,Level_1_Low_window_1_CS,LM_High_window_1_MACD,LM_High_window_2_MACD,LM_Low_window_1_MACD,LM_Low_window_2_MACD,Level_2_High_window_1_CS,Level_2_Low_window_1_CS,CBullD_gen,CBullD_neg_MACD
2022-12-13 00:00:00+0000,17208.93,18000.0,17080.14,17774.7,284462.9139,564.87,564.87,0.0,150.182031,105.178733,1.427875,58.81,17148.3957,17110.8155,17174.4623,17661.3588,18922.311,22409.3481,-26.0666,-176.4197,150.3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14 00:00:00+0000,17775.82,18387.95,17660.94,17803.15,266681.22209,28.45,28.45,0.0,141.486886,97.665966,1.448682,59.16,17249.1271,17176.7521,17221.0317,17666.9193,18900.1494,22363.5152,28.0954,-135.5167,163.6121,18387.95,18387.95,18387.95,0.0,0.0,0.0,18387.95,18387.95,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-15 00:00:00+0000,17804.01,17854.82,17275.51,17356.34,223701.96882,-446.81,0.0,446.81,131.38068,122.604826,1.071578,51.73,17265.6214,17193.8557,17231.0546,17654.7397,18869.5789,22313.6926,34.5668,-101.5,136.0668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-16 00:00:00+0000,17356.96,17531.73,16527.32,16632.12,253379.04116,-724.22,0.0,724.22,121.996346,165.577338,0.736794,42.42,17168.1597,17140.3571,17186.689,17614.637,18825.2728,22257.1595,-18.5293,-84.9059,66.3766,0.0,0.0,0.0,0.0,16527.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17 00:00:00+0000,16631.5,16796.82,16579.85,16776.52,144825.66684,144.4,144.4,0.0,123.596607,153.750385,0.803878,44.56,17107.9074,17105.7059,17156.3062,17581.7696,18784.7034,22202.6258,-48.3988,-77.6044,29.2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-18 00:00:00+0000,16777.54,16863.26,16663.07,16738.21,112619.31646,-38.31,0.0,38.31,114.768278,145.504643,0.78876,44.1,17051.0309,17070.7063,17125.3361,17548.6889,18744.1788,22148.2535,-74.3052,-76.9446,2.6394,0.0,16863.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-19 00:00:00+0000,16739.0,16815.99,16256.3,16438.88,179094.28305,-299.33,0.0,299.33,106.570544,156.492168,0.680996,40.51,16956.8538,17010.5324,17074.4875,17505.167,18698.5293,22091.4438,-117.6337,-85.0824,-32.5513,0.0,0.0,0.0,16256.3,16256.3,16256.3,0.0,0.0,16256.3,16256.3,0.0,0.0,0.0,0.0
2022-12-20 00:00:00+0000,16438.88,17061.27,16397.2,16895.56,248808.92324,456.68,456.68,0.0,131.578362,145.314156,0.905475,47.52,16947.424,16999.5826,17061.2336,17481.2608,18662.8269,22039.7435,-113.8096,-90.8279,-22.9817,0.0,17061.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21 00:00:00+0000,16896.15,16925.0,16723.0,16824.67,156810.96362,-70.89,0.0,70.89,122.179908,139.998145,0.872725,46.6,16928.5388,16982.9243,17043.7104,17455.5121,18626.4278,21987.8522,-115.1716,-95.6966,-19.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22 00:00:00+0000,16824.68,16868.52,16559.85,16821.43,176044.27235,-3.24,0.0,3.24,113.452772,130.229706,0.871174,46.56,16912.0605,16967.5439,17027.2451,17430.6462,18590.6853,21936.445,-115.1846,-99.5942,-15.5904,0.0,0.0,0.0,0.0,16559.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-23 00:00:00+0000,16821.9,16955.14,16731.13,16778.5,161612.00947,-42.93,0.0,42.93,105.349003,123.994013,0.84963,45.94,16891.5127,16949.5397,17008.8196,17405.0718,18554.8004,21885.1222,-117.3069,-103.1367,-14.1702,0.0,16955.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24 00:00:00+0000,16778.52,16869.99,16776.62,16836.12,100224.29096,57.62,57.62,0.0,101.939788,115.137298,0.885376,46.96,16882.9908,16938.7378,16996.027,17382.76,18520.7671,21834.8834,-113.0362,-105.1166,-7.9196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-25 00:00:00+0000,16835.73,16857.96,16721.0,16832.11,125441.07202,-4.01,0.0,4.01,94.658375,107.199634,0.88301,46.89,16875.163,16928.5828,16983.885,17361.1659,18487.3284,21785.1045,-108.722,-105.8377,-2.8843,0.0,0.0,0.0,0.0,16721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-26 00:00:00+0000,16832.11,16944.52,16791.0,16919.39,124564.00656,87.28,87.28,0.0,94.131348,99.542517,0.94564,48.6,16881.9671,16927.7073,16979.1076,17343.8413,18456.2801,21736.6895,-97.1405,-104.0983,6.9578,0.0,0.0,0.0,0.0,0.0,0.0,16944.52,16944.52,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-27 00:00:00+0000,16919.39,16972.83,16592.37,16706.36,173749.58616,-213.03,0.0,213.03,87.40768,107.648766,0.811971,44.81,16854.9506,16906.6266,16958.9041,17318.8421,18421.6282,21686.6364,-103.9535,-104.0693,0.1158,16972.83,16972.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-28 00:00:00+0000,16706.06,16785.19,16465.33,16547.31,193037.56577,-159.05,0.0,159.05,81.164274,111.320283,0.729106,42.17,16807.6213,16872.406,16928.4156,17288.5859,18384.513,21635.4989,-120.7943,-107.4143,-13.38,0.0,0.0,0.0,0.0,16465.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-29 00:00:00+0000,16547.32,16664.41,16488.91,16633.47,160998.47158,86.16,86.16,0.0,81.521112,103.368834,0.788643,44.09,16780.8288,16849.6502,16906.5678,17262.8951,18349.8389,21585.7274,-125.739,-111.0792,-14.6598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-30 00:00:00+0000,16633.47,16677.35,16333.0,16607.48,164916.31174,-25.99,0.0,25.99,75.698175,97.841774,0.77368,43.62,16754.1598,16826.5863,16884.4132,17237.1925,18315.3367,21536.1926,-130.2534,-114.9141,-15.3393,0.0,16677.35,0.0,16333.0,16333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31 00:00:00+0000,16607.48,16644.09,16470.0,16542.4,114490.42864,-65.08,0.0,65.08,70.291163,95.501647,0.73602,42.4,16721.5813,16799.521,16859.0788,17209.9458,18280.2291,21486.5031,-137.4975,-119.4308,-18.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16470.0,16470.0,0.0,0.0,0.0,0.0
2023-01-01 00:00:00+0000,16541.77,16628.0,16499.01,16616.75,96925.41374,74.35,74.35,0.0,70.58108,88.680101,0.795907,44.32,16705.4534,16782.1142,16841.1286,17186.6832,18247.2889,21438.0479,-135.6752,-122.6797,-12.9955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 00:00:00+0000,16617.17,16799.23,16548.7,16672.87,121888.57191,56.12,56.12,0.0,69.548146,82.345808,0.844586,45.79,16700.4406,16771.71,16828.665,17166.5336,18216.1123,21390.6332,-128.2244,-123.7886,-4.4358,0.0,16799.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 00:00:00+0000,16672.78,16778.4,16605.28,16675.18,159541.53733,2.31,2.31,0.0,64.745421,76.463965,0.846744,45.85,16696.5544,16762.5167,16817.2957,17147.2649,18185.5988,21343.7132,-120.7413,-123.1791,2.4378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 00:00:00+0000,16675.65,16991.87,16652.66,16850.36,220362.18862,175.18,175.18,0.0,72.633605,71.002253,1.022976,50.57,16720.2168,16770.8827,16819.7449,17135.6215,18159.1584,21299.0033,-99.5281,-118.4489,18.9208,0.0,16991.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05 00:00:00+0000,16850.36,16879.82,16753.0,16831.85,163473.56641,-18.51,0.0,18.51,67.44549,67.252806,1.002865,50.07,16737.3911,16776.6891,16820.6416,17123.7089,18132.875,21254.554,-83.2505,-111.4092,28.1587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06 00:00:00+0000,16831.85,17041.0,16679.0,16950.65,207401.28415,118.8,118.8,0.0,71.113669,62.449034,1.138747,53.24,16770.2002,16793.2568,16830.2718,17116.9223,18109.4647,21211.7291,-60.0716,-101.1417,41.0701,0.0,17041.0,0.0,0.0,16679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-07 00:00:00+0000,16950.31,16981.91,16908.0,16943.57,104526.5688,-7.08,0.0,7.08,66.034121,58.494103,1.128902,53.03,16796.8724,16807.5724,16838.6643,17110.1242,18086.3776,21169.2598,-41.7919,-89.2718,47.4799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08 00:00:00+0000,16943.83,17176.99,16911.0,17127.83,135155.89695,184.26,184.26,0.0,74.478827,54.315953,1.371215,57.83,16847.789,16838.0731,16860.084,17110.8185,18067.3965,21129.0466,-12.295,-73.8764,61.5814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09 00:00:00+0000,17127.83,17398.8,17104.66,17178.26,266211.52723,50.43,50.43,0.0,72.761054,50.436242,1.442634,59.06,16898.6307,16870.4718,16883.6526,17113.4633,18049.7898,21089.7353,14.9781,-56.1055,71.0836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10 00:00:00+0000,17179.04,17499.0,17146.34,17440.66,221382.42581,262.4,262.4,0.0,86.306693,46.833653,1.842835,64.82,16982.0198,16924.7755,16924.9124,17126.2945,18037.7278,21053.4261,57.1074,-33.4629,90.5703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11 00:00:00+0000,17440.64,18000.0,17315.6,17943.26,262221.60653,502.6,502.6,0.0,116.041929,43.488392,2.668343,72.74,17129.9029,17021.774,17000.3455,17158.3324,18035.8572,21022.4791,129.5574,-0.8589,130.4163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12 00:00:00+0000,17943.26,19117.04,17892.05,18846.62,454568.32178,903.36,903.36,0.0,172.278934,40.382078,4.266223,81.01,17394.0132,17195.5689,17137.1066,17224.5397,18051.9119,21000.8288,256.9066,50.6942,206.2124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13 00:00:00+0000,18846.62,20000.0,18714.12,19930.01,368615.87823,1083.39,1083.39,0.0,237.358296,37.497644,6.329952,86.36,17784.1666,17455.9918,17343.9883,17330.6366,18089.102,20990.1739,440.1783,128.591,311.5873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-14 00:00:00+0000,19930.01,21258.0,19888.05,20954.92,393913.74951,1024.91,1024.91,0.0,293.611989,34.819241,8.432464,89.4,18271.9748,17789.2231,17611.4648,17472.7654,18145.8508,20989.8231,660.51,234.9748,425.5352,0.0,21258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-15 00:00:00+0000,20952.76,21050.74,20551.01,20871.5,178542.22549,-83.42,0.0,83.42,272.639704,38.290724,7.120255,87.69,18671.9018,18082.7733,17852.9489,17606.0491,18199.8241,20988.6458,818.9529,351.7705,467.1824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-16 00:00:00+0000,20872.99,21474.05,20611.48,21185.65,293078.08262,314.15,314.15,0.0,275.604725,35.555672,7.751358,88.57,19058.6323,18378.2853,18099.8156,17746.4256,18258.9494,20990.606,958.8167,473.1797,485.637,0.0,0.0,0.0,0.0,0.0,0.0,21474.05,21474.05,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17 00:00:00+0000,21185.65,21647.45,20841.31,21134.81,275407.74409,-50.84,0.0,50.84,255.918673,36.64741,6.983268,87.47,19378.0442,18640.8115,18324.63,17879.3034,18315.8971,20992.0409,1053.4142,589.2266,464.1876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18 00:00:00+0000,21132.29,21650.0,20407.15,20677.47,350916.01949,-457.34,0.0,457.34,237.638768,66.696881,3.562967,78.08,19577.9559,18834.779,18498.9144,17989.0354,18362.6609,20988.9108,1079.0415,687.1896,391.8519,0.0,21650.0,0.0,0.0,20407.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19 00:00:00+0000,20677.47,21192.0,20659.19,21071.59,251385.84925,394.12,394.12,0.0,248.815999,61.932818,4.017515,80.07,19807.7457,19047.8086,18689.483,18109.9199,18416.3031,20989.7335,1118.2627,773.4042,344.8585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20659.19,0.0,0.0,0.0,0.0
2023-01-20 00:00:00+0000,21071.59,22755.93,20861.28,22667.21,338079.13659,1595.62,1595.62,0.0,345.016285,57.509045,5.999339,85.71,20247.6633,19392.5135,18984.1295,18288.6372,18500.4794,21006.4248,1263.5338,871.4301,392.1037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
