date,open,high,low,close,volume
2015-03-11 05:30:00+05:30,420.75,420.75,409.0,413.25,69370.0
2015-03-12 05:30:00+05:30,420.65,422.5,411.1,413.95,56150.0
2015-03-13 05:30:00+05:30,418.0,420.65,408.0,410.75,49630.0
2015-03-16 05:30:00+05:30,410.75,411.45,399.3,400.5,536800.0
2015-03-17 05:30:00+05:30,401.2,412.0,401.2,403.4,99030.0
2015-03-18 05:30:00+05:30,404.0,411.0,400.1,404.8,249110.0
2015-03-19 05:30:00+05:30,407.95,410.6,402.5,403.55,94660.0
2015-03-20 05:30:00+05:30,414.9,414.9,390.1,402.05,137000.0
2015-03-23 05:30:00+05:30,404.3,404.3,396.1,399.3,228250.0
2015-03-24 05:30:00+05:30,403.2,404.0,393.2,396.8,103410.0
2015-03-25 05:30:00+05:30,395.15,397.0,392.1,394.8,140260.0
2015-03-26 05:30:00+05:30,395.0,403.0,393.8,395.65,94200.0
2015-03-27 05:30:00+05:30,398.05,400.0,394.2,396.15,90480.0
2015-03-30 05:30:00+05:30,399.9,406.6,396.15,399.95,107640.0
2015-03-31 05:30:00+05:30,403.1,419.45,399.0,410.85,210870.0
2015-04-01 05:30:00+05:30,408.4,415.5,406.2,414.0,56410.0
2015-04-06 05:30:00+05:30,415.8,427.4,415.5,424.1,84680.0
2015-04-07 05:30:00+05:30,426.45,436.5,421.05,434.1,127880.0
2015-04-08 05:30:00+05:30,434.1,453.0,428.55,448.9,78440.0
2015-04-09 05:30:00+05:30,449.45,469.8,440.0,450.45,191680.0
2015-04-10 05:30:00+05:30,451.1,459.8,447.9,452.2,108130.0
2015-04-13 05:30:00+05:30,452.2,452.2,442.0,445.4,110260.0
2015-04-15 05:30:00+05:30,445.35,449.0,437.7,445.6,279810.0
2015-04-16 05:30:00+05:30,447.2,460.5,437.5,458.5,41720.0
2015-04-17 05:30:00+05:30,458.0,460.5,444.5,452.95,101260.0
2015-04-20 05:30:00+05:30,450.0,459.4,443.85,455.8,96130.0
2015-04-21 05:30:00+05:30,453.2,455.0,414.0,437.35,794130.0
2015-04-22 05:30:00+05:30,434.0,439.9,419.65,428.0,108720.0
2015-04-23 05:30:00+05:30,433.85,433.85,424.25,427.45,660780.0
2015-04-24 05:30:00+05:30,422.0,426.0,412.0,414.0,121940.0
2015-04-27 05:30:00+05:30,415.5,417.65,398.0,399.5,165060.0
2015-04-28 05:30:00+05:30,393.35,407.0,393.35,400.8,108360.0
2015-04-29 05:30:00+05:30,407.0,407.7,395.5,398.95,497560.0
2015-04-30 05:30:00+05:30,398.4,405.8,395.1,404.45,161360.0
2015-05-04 05:30:00+05:30,404.45,425.0,391.95,419.25,149600.0
2015-05-05 05:30:00+05:30,428.0,439.5,425.45,429.0,171050.0
2015-05-06 05:30:00+05:30,429.45,437.05,411.95,428.55,91170.0
2015-05-07 05:30:00+05:30,430.05,435.0,409.0,418.05,62200.0
2015-05-08 05:30:00+05:30,421.25,435.0,417.5,434.45,84060.0
2015-05-11 05:30:00+05:30,433.2,445.0,430.05,434.7,64480.0
2015-05-12 05:30:00+05:30,436.5,439.0,427.0,434.15,59730.0
2015-05-13 05:30:00+05:30,436.0,441.0,431.1,432.7,109570.0
2015-05-14 05:30:00+05:30,437.5,442.0,433.6,438.45,112240.0
2015-05-15 05:30:00+05:30,439.45,449.9,439.2,448.4,60570.0
2015-05-18 05:30:00+05:30,448.4,454.9,444.0,446.05,83600.0
2015-05-19 05:30:00+05:30,443.75,454.2,443.75,448.15,62340.0
2015-05-20 05:30:00+05:30,453.0,453.0,439.6,449.9,203090.0
2015-05-21 05:30:00+05:30,453.7,460.0,447.3,457.7,331780.0
2015-05-22 05:30:00+05:30,458.8,459.8,449.0,450.7,100210.0
2015-05-25 05:30:00+05:30,452.4,455.0,444.4,450.35,161610.0
2015-05-26 05:30:00+05:30,454.0,458.5,445.0,448.35,287900.0
2015-05-27 05:30:00+05:30,445.95,451.3,430.55,441.15,245910.0
2015-05-28 05:30:00+05:30,450.0,450.0,435.5,442.4,141970.0
2015-05-29 05:30:00+05:30,445.3,458.9,411.9,421.65,478040.0
2015-06-01 05:30:00+05:30,428.3,441.2,424.75,438.0,152860.0
2015-06-02 05:30:00+05:30,439.85,442.5,424.85,428.45,114960.0
2015-06-03 05:30:00+05:30,427.65,436.55,417.0,432.5,105540.0
2015-06-04 05:30:00+05:30,432.95,438.0,420.8,435.25,75300.0
2015-06-05 05:30:00+05:30,431.1,449.5,430.0,445.05,139080.0
2015-06-08 05:30:00+05:30,451.0,451.0,440.5,447.25,105230.0
2015-06-09 05:30:00+05:30,443.0,461.9,440.0,458.25,197600.0
2015-06-10 05:30:00+05:30,455.4,459.5,450.5,455.3,86540.0
2015-06-11 05:30:00+05:30,460.0,477.0,453.0,466.55,202020.0
2015-06-12 05:30:00+05:30,466.5,471.1,461.65,467.65,165690.0
2015-06-15 05:30:00+05:30,467.8,473.3,465.4,471.55,126920.0
2015-06-16 05:30:00+05:30,470.6,472.0,463.6,470.0,96740.0
2015-06-17 05:30:00+05:30,470.25,479.0,470.0,477.6,265410.0
2015-06-18 05:30:00+05:30,479.25,491.8,478.75,490.3,295790.0
2015-06-19 05:30:00+05:30,490.8,522.05,490.8,515.8,262840.0
2015-06-22 05:30:00+05:30,521.0,544.9,515.85,538.65,389280.0
2015-06-23 05:30:00+05:30,540.0,540.0,524.5,531.9,185360.0
2015-06-24 05:30:00+05:30,532.5,537.0,522.5,525.35,292310.0
2015-06-25 05:30:00+05:30,526.0,540.0,516.0,538.5,284750.0
2015-06-26 05:30:00+05:30,538.4,549.9,530.4,543.6,250200.0
2015-06-29 05:30:00+05:30,534.5,547.0,523.0,545.55,248530.0
2015-06-30 05:30:00+05:30,540.6,546.0,539.1,544.35,130990.0
2015-07-01 05:30:00+05:30,545.0,556.5,543.0,549.8,209080.0
2015-07-02 05:30:00+05:30,549.8,558.2,541.1,545.05,204130.0
2015-07-03 05:30:00+05:30,546.0,559.0,546.0,556.1,235960.0
2015-07-06 05:30:00+05:30,554.2,562.5,546.0,556.45,182330.0
2015-07-07 05:30:00+05:30,561.85,565.5,553.3,555.8,179970.0
2015-07-08 05:30:00+05:30,554.0,557.0,518.0,522.6,449390.0
2015-07-09 05:30:00+05:30,521.5,527.0,497.7,502.15,624440.0
2015-07-10 05:30:00+05:30,501.9,507.85,495.1,502.45,251800.0
2015-07-13 05:30:00+05:30,509.95,514.0,504.1,509.55,365190.0
2015-07-14 05:30:00+05:30,510.1,512.4,500.0,508.25,334180.0
2015-07-15 05:30:00+05:30,508.75,517.9,508.25,515.8,153890.0
2015-07-16 05:30:00+05:30,516.5,528.25,516.5,524.9,280190.0
2015-07-17 05:30:00+05:30,525.0,530.9,516.0,517.9,228550.0
2015-07-20 05:30:00+05:30,522.0,526.85,511.3,517.15,115200.0
2015-07-21 05:30:00+05:30,517.0,522.95,508.4,510.7,130730.0
2015-07-22 05:30:00+05:30,517.0,520.6,497.55,513.15,478190.0
2015-07-23 05:30:00+05:30,515.6,519.3,511.0,514.0,252990.0
2015-07-24 05:30:00+05:30,515.4,521.0,513.6,517.0,129370.0
2015-07-27 05:30:00+05:30,516.6,525.05,510.05,522.8,188490.0
2015-07-28 05:30:00+05:30,522.8,535.85,522.5,533.95,287240.0
2015-07-29 05:30:00+05:30,536.0,550.0,534.1,543.95,232110.0
2015-07-30 05:30:00+05:30,547.0,549.95,536.7,544.05,159290.0
2015-07-31 05:30:00+05:30,543.0,554.0,538.05,551.15,227330.0
2015-08-03 05:30:00+05:30,545.5,570.0,545.5,568.25,152590.0
2015-08-04 05:30:00+05:30,570.0,570.8,550.25,562.7,157480.0
2015-08-05 05:30:00+05:30,564.0,572.0,553.1,556.2,182500.0
2015-08-06 05:30:00+05:30,557.0,560.0,540.0,546.05,131240.0
2015-08-07 05:30:00+05:30,547.0,557.5,544.0,548.25,148580.0
2015-08-10 05:30:00+05:30,551.0,557.5,541.65,543.85,172800.0
2015-08-11 05:30:00+05:30,545.0,548.6,541.05,545.25,147610.0
