Type,Date,Candle_Percent,MACD_Percent
CBullDivg_Classic,2018-08-11 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-08-11 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-08-11 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-08-14 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-08-21 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-09-08 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-09-09 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-09-09 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-09-19 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-10-01 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-10-01 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-10-19 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-10-22 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-10-22 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-10-23 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-10-25 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-10-28 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-10-28 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-10-30 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-10-31 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-11-11 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-11-11 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-11-20 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-11-20 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-11-20 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-11-20 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-11-23 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-11-25 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-12-05 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-12-05 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-12-06 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-12-06 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-12-06 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-12-14 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-12-15 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-12-15 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2018-12-27 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2018-12-28 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-01-01 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-01-01 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-01-11 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-01-13 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-01-14 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-01-14 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-01-22 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-01-27 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-01-29 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-02-08 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-02-13 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-02-14 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-02-15 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-02-27 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-03-14 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-03-19 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-03-19 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-04-26 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-04-26 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-04-30 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-06-06 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-06-10 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-06-10 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-07-02 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-07-02 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-07-13 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-07-13 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-07-13 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-07-17 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-07-17 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-07-17 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-07-17 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2019-07-24 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2019-07-24 16:00:00+00:00,0.1,3.25
